logFC AveExpr t P.Value adj.P.Val B Entrez_Gene_ID
ACBD7 0.056028515 5.9691755 1.63304035 0.22390792 0.39329528 -5.34568879895 414149
ACCN1 0.062479372 6.238836 0.9001108 0.462773535 0.57458695 -6.04206100395 40
ACCN2 0.032517191 6.322885 0.76950955 0.4807379 0.7076536 -6.6140478388 41
ACCN3 0.06129253 6.436945 1.621151 0.11838184 0.33023535 -5.6662403439 9311
ACCN4 -0.00564099 6.000372 -0.273029 0.543152533333333 0.784905566666667 -6.7870366695 55515
ACCN5 0.02786302 5.995939 1.151449 0.2523198 0.5404775 -6.3332832608 51802
ACD -0.1023438 7.877482 -1.949877 0.05401853 0.1979296 -5.1245237731 65057
ACE 0.0165165 5.96122133333333 0.709481166666667 0.4841391 0.746464833333333 -6.73147812753333 1636
ACE2 -0.05877654 6.06609 -1.99552 0.04873281 0.1834106 -5.0377637496 59272
ACHE -0.034027137 6.26205266666667 -0.498591066666667 0.5101083 0.6981689 -6.5193474466 43
ACIN1 -0.01951995 9.322209 -0.3850006 0.7010626 0.8793013 -6.9187305451 22985
ACLY 0.54890025 10.7498645 5.6400675 4.68906021155e-05 0.000450321572404 7.28301873235 47
ACMSD 0.08009555 6.481032 2.965378 0.003788233 0.02318887 -2.7747026469 130013
ACN9 0.32052195 7.282342 4.4579775 2.7503205e-05 0.00029654435 2.08096873955 57001
ACO1 -0.3648943 10.066368 -5.91119 4.83667e-08 9.878827e-07 7.9765549432 48
ACO2 0.01517858 7.182102 0.294673 0.7688605 0.9112249 -6.9494440754 50
ACOT1 -0.045591125 6.2930715 -0.3254655 0.089445975 0.2668609 -5.34500618105 641371
ACOT11 -0.249966885 6.592794 -4.10869325 0.23213930000001 0.368664650000806 7.8025656546 26027
ACOT12 0.06643745 6.115255 2.749698 0.007091441 0.03932218 -3.3446236492 134526
ACOT2 0.057436905 6.486567 0.411395 0.42506655 0.6649532 -6.53213772655 10965
ACOT4 -0.04397924 6.579409 -0.9061523 0.3670546 0.6589325 -6.583352861 122970
ACOT6 0.005977153 5.879593 0.2976609 0.7665855 0.9105004 -6.9485583914 641372
ACOT7 0.005240833 6.48602457142857 0.461937262857143 0.406020722857143 0.602380985714286 -6.28604981827143 11332
ACOT8 0.07396869 6.344997 1.504938 0.1355226 0.3748505 -5.8714005162 10005
ACOT9 0.03231977 6.760431 0.333179 0.07657255 0.2387895 -5.1972293627 23597
ACOX1 0.0358294396666667 6.28783366666667 0.4911248 0.544231133333333 0.705170933333333 -6.4953311236 51
ACOX2 -1.203271 8.39196 -13.08915 2.523861e-23 1.918607e-20 42.5290960221 8309
ACOX3 0.1054029 8.104938 1.484484 0.1408564 0.3840906 -5.9013452464 8310
ACOXL -0.05409298 6.083328 -1.632514 0.1057469 0.3180447 -5.675828167 55289
ACP1 0.4587203 9.036456 5.7643555 1.6757948425e-06 2.291584854e-05 7.46888056345 52
ACP2 0.1630607 7.382646 1.822511 0.07139495 0.2423941 -5.3567569202 53
ACP5 -0.3840798 7.064653 -4.268126 4.520712e-05 0.000471068 1.3766213577 54
ACP6 0.3014729 7.730705 5.081925 1.76443e-06 2.574004e-05 4.4898369503 51205
ACPL2 0.03249333 7.722172 0.5740359 0.5708832 0.80363335 -6.81884509855 92370
ACPP -0.6508296 12.736945 -5.865813 5.926653e-08 1.184649e-06 7.7788705203 55
ACPT 0.0554421765 6.531729 0.70769845 0.41109463 0.5837039 -6.21002182085 93650
ACR 0.0007814714 6.098532 0.03085332 0.9754486 0.9909284 -6.9924400376 49
ACRBP 0.03784758 6.242198 1.381067 0.1703667 0.4313705 -6.0467348211 84519
ACRC 0.05143411 6.208977 1.759912 0.08151029 0.2657579 -5.4655251462 93953
ACRV1 0.39704775 6.3615565 7.7224035 1.13018185e-11 4.9266095e-10 16.33615493255 56
ACSBG1 -0.2735156 6.163759 -5.849719 6.368585e-08 1.263639e-06 7.7089325485 23205
ACSBG2 -0.01445897 5.997192 -0.7805693 0.4369176 0.7175814 -6.688682826 81616
ACSF3 -0.009731866 6.116948 -0.3024728 0.762926 0.9091802 -6.9471133273 197322
ACSL1 0.1860847 7.28895 2.555015 0.0121401 0.06124433 -3.8272664285 2180
ACSL3 0.529573166666667 8.312901 5.57662033333333 3.4313068e-07 5.65614133333333e-06 6.54642824796667 2181
ACSL4 -0.130023390325 6.29068175 -2.51381207125 0.38231294500559 0.49788465023386 -0.919418417425 2182
ACSL5 0.0776865528 6.7125956 0.67581026 0.392773372 0.5943553 -6.24872795318 51703
ACSL6 0.00429403005 6.0222125 0.1125478725 0.8039084 0.9116367 -6.9187519376 23305
ACSM1 0.2538225 6.151859 5.177024 1.184059e-06 1.803596e-05 4.8750752063 116285
ACSM2A 0.02630622 6.058888 1.170021 0.2448004 0.5317407 -6.3119802441 123876
ACSM2B 0.00165434333333333 5.94256333333333 0.0881913 0.756247733333333 0.903979833333333 -6.94065785316667 348158
ACSM3 0.406588233333333 7.24153066666667 4.84814966666667 1.19512565666667e-05 0.000138346041666667 3.61443562453333 6296
ACSM4 -0.03375566 6.041489 -1.323672 0.1886594 0.4576287 -6.1230682885 341392
ACSM5 0.002855147 6.17619066666667 0.227785433333333 0.565347033333333 0.770623366666667 -6.7247420535 54988
ACSS1 0.7211534 9.63847 9.069421 1.166696e-14 9.428915e-13 22.9066773166 84532
ACSS2 -0.124516224 7.5523822 -1.85605798 0.151721179794111 0.238351925026613 1.36853635928 55902
ACSS3 -0.005938795 5.972418 -0.229768 0.8187459 0.9329811 -6.9664811375 79611
ACTA1 -0.6589412 7.016122 -3.597344 0.0005037031 0.004010172 -0.9042463635 58
ACTA2 -0.6600656 14.293884 -10.92653 1.048703e-18 2.218327e-16 32.0734959844 59
ACTB -0.342705524666667 12.5536203333333 -6.77596705333333 0.330299500001086 0.332136633385804 16.5063296230333 60
ACTC1 -0.68758405 6.8175725 -5.4311465 0.0984708500000005 0.234659300000051 9.59498869515 70
ACTG1 0.91414535 11.337046 3.652451 0.002919423325 0.0167599793 -0.495010597 71
ACTG2 -0.794655 13.573118 -10.30675 2.335949e-17 3.496879e-15 29.0197529545 72
ACTL6A 0.33305705 8.2331225 6.34181 2.154138432802e-06 2.86661660216e-05 10.21211768165 86
ACTL6B 0.005346582 6.079568 0.2158234 0.8295693 0.9372015 -6.9695917789 51412
ACTL7A -0.008116342 5.98438 -0.420209 0.6752431 0.8658459 -6.9045541276 10881
ACTL7B -0.09120889 6.156147 -4.251173 4.819729e-05 0.0004989137 1.3155761078 10880
ACTL8 0.02870427 6.036398 0.8930994 0.373969 0.6650221 -6.5950200085 81569
ACTN1 -0.7658236 11.233145 -8.334083 4.583789e-13 2.66759e-11 19.298113566 87
ACTN2 -0.07416377 6.29029 -1.896859 0.06076019 0.2160904 -5.222964282 88
ACTN3 -0.01325887 5.950592 -0.5554537 0.5798369 0.8139629 -6.8386250132 89
ACTN4 -0.4212752 9.664435 -5.886378 5.405595e-08 1.090805e-06 7.8683746577 81
ACTR10 -0.09891234 8.259731 -1.845104 0.06801052 0.2341914 -5.3166269618 55860
ACTR1A -0.2254735 9.533289 -5.543105 2.464272e-07 4.321982e-06 6.3947899908 10121
ACTR1B 0.009689128 8.734831 0.229893 0.8186491 0.9329635 -6.9664523661 10120
ACTR2 -0.1571389 9.716494 -2.672044 0.008816247 0.04708321 -3.5408124836 10097
ACTR3 -0.002731874 6.703373 -0.05215358 0.9585114 0.9852417 -6.9915544751 10096
ACTR3B 0.041811078 6.08552675 1.167480375 0.5265824019 0.6541837345 -5.207139289775 57180
ACTR5 0.112924 7.13157 2.907291 0.004499453 0.02680061 -2.9317661415 79913
ACTR6 -0.03762964 7.96437 -0.6494141 0.5175741 0.7734201 -6.782131151 64431
ACTR8 0.03829513 6.450111 1.133449 0.2597623 0.5488558 -6.3536133784 93973
ACTRT1 0.01116853 6.471544 0.2949031 0.7686852 0.9112249 -6.9493761761 139741
ACVR1 -0.08867736 7.918149 -1.521826 0.1312393 0.3670414 -5.8463816016 90
ACVR1B 0.0554297285 6.8887085 1.4111993 0.32147787475 0.47300685 -5.592400287575 91
ACVR1C -0.003988622 5.982392 -0.1708796 0.8646671 0.9505984 -6.9782935707 130399
ACVR2A 0.04625319 6.646777 1.168849 0.2452739 0.53225115 -6.3133268294 92
ACVR2B 0.02815337 5.992936 1.1494009 0.26488455 0.54255815 -6.3114426515 93
ACVRL1 -0.3007182 6.717388 -5.492149 3.075571e-07 5.279911e-06 6.1799121262 94
ACY1 0.6333862 9.07742 9.885982 1.932725e-16 2.356665e-14 26.9404674379 95
ACY3 -0.07989748 5.973821 -1.025249 0.3077435 0.6019756 -6.4692280498 91703
ACYP1 -0.0564185775666667 6.712939 -1.01487046333333 0.4816595964 0.578214919333333 -4.720661223 97
ACYP2 0.044462305 6.913336 1.0867435 0.27989905 0.57151675 -6.40468168395 98
ADA -0.3358888 7.206481 -5.033306 2.160326e-06 3.080428e-05 4.2944934636 100
ADAD1 0.01367758 5.890909 0.5299108 0.5973598 0.82499 -6.85246939 132612
ADAD2 -0.2100948 6.126179 -7.231536 1.018253e-10 3.645331e-09 13.9962617453 161931
ADAL 0.06225547 6.443234 1.437756 0.1536555 0.4056237 -5.9682842644 161823
ADAM10 0.020147695 6.246834 0.14569655 0.4591157 0.7281092 -6.70066514975 102
ADAM11 -0.1287996 6.215634 -4.323511 3.66326e-05 0.0003931721 1.5772176589 4185
ADAM12 0.0132938307 5.94532866666667 0.468487426666667 0.671691133333333 0.827411233333333 -6.7934161895 8038
ADAM15 0.2080580425 8.015975 2.9050895 0.070060025525 0.164360663325 -2.302365180475 8751
ADAM17 0.0426629885 6.7083785 1.58979917 0.485248579 0.50168645 -4.6399846148 6868
ADAM18 -0.006524865 6.035353 -0.2640329 0.7923032 0.9211264 -6.9580116189 8749
ADAM19 -0.228278733 6.72182766666667 -2.3208985 0.290717066666904 0.413985733346456 2.0603323049 8728
ADAM2 0.1425802 6.159994 3.899375 0.0001756879 0.001581126 0.0876174654 2515
ADAM20 -0.031175 5.89403 -1.198404 0.2336196 0.5175095 -6.2787841184 8748
ADAM21 0.06642343 6.122072 2.588551 0.01108785 0.05684961 -3.7463215021 8747
ADAM22 -0.00617673 5.99747766666667 -0.100760366666667 0.258129193333333 0.426045856666667 -5.63728608253333 53616
ADAM23 0.02047228 6.285115 0.4411299 0.6600805 0.8589685 -6.8955454183 8745
ADAM28 -0.0159174533333333 5.989257 -0.724225 0.14788865 0.358642 -5.59610144456667 10863
ADAM29 -0.01092858 6.059951 -0.4405335 0.6605108 0.8591144 -6.8958082693 11086
ADAM30 -0.05870864 5.989503 -2.015153 0.04659861 0.1775403 -4.9998761241 11085
ADAM32 0.0025911875 6.06635525 0.02775845 0.3525107125 0.564306975 -6.1322931676 203102
ADAM33 -0.0395454 6.2937875 -1.65508825 0.39052133415 0.460238618 -3.9414055264 80332
ADAM3A -0.0235324566666667 5.94732466666667 -0.953357966666667 0.413286506666667 0.632938766666667 -6.38938581296667 NA
ADAM5 0.00844972995 6.027136 0.417877305 0.7009978 0.8472997 -6.8244241006 NA
ADAM5P 0.02028894 5.934088 0.8940469 0.3734643 0.6645556 -6.5941787065 NA
ADAM6 0.0282936465 6.0625125 0.9510488 0.486453155 0.61315745 -6.2188523146 NA
ADAM7 0.1823867 6.316899 2.561217 0.01193896 0.06047414 -3.8123646287 8756
ADAM8 -0.1058496 6.85837 -1.902489 0.06001227 0.2142597 -5.2126310567 101
ADAM9 0.1045179 6.872197 2.093034 0.0389016 0.1551091 -4.8462266664 8754
ADAMDEC1 -0.0100623625 6.164869 -0.2857681 0.77700855 0.91235815 -6.9458608088 27299
ADAMTS1 -0.6971674 7.422524 -7.038015 2.577949e-10 8.451642e-09 13.0865870181 9510
ADAMTS10 0.01492214 6.031284 0.6388618 0.5243876 0.7781842 -6.7889115586 81794
ADAMTS12 0.000985368 5.874442 0.04207426 0.9665242 0.988072 -6.9920301703 81792
ADAMTS13 0.0252963633333333 6.040992 1.02118903333333 0.324417266666667 0.600916566666667 -6.44310083656667 11093
ADAMTS14 0.00942613333333333 6.058995 0.1590148 0.343223633333333 0.6152774 -6.46990490093333 140766
ADAMTS15 0.0129647 6.008354 0.5197646 0.6043875 0.8293344 -6.8577889001 170689
ADAMTS16 0.02187863 6.006588 0.7477938 0.4563565 0.7315838 -6.7136246961 170690
ADAMTS17 0.02388752 6.195387 1.136823 0.2583555 0.5474764 -6.349826013 170691
ADAMTS18 0.03375317 6.009143 1.20726495 0.328768835 0.5223859 -6.05150680645 170692
ADAMTS19 0.009066756 6.484392 0.2078587 0.8357661 0.9392551 -6.9712812056 171019
ADAMTS2 -0.0035329735 6.116184 -0.13646534 0.8626971 0.94721085 -6.96825666515 9509
ADAMTS20 0.00370603166666667 5.91198033333333 0.126387533333333 0.774212333333333 0.909546766666667 -6.93741285786667 80070
ADAMTS3 0.01966399 5.882627 0.6502445 0.5170399 0.7730493 -6.7815929182 9508
ADAMTS4 -0.02721056 5.989369 -0.8690156 0.3869397 0.6762904 -6.6161095786 9507
ADAMTS5 -0.1572853 6.136542 -3.985259 0.0001289436 0.001195982 0.3804012852 11096
ADAMTS6 -0.008756984 6.110853 -0.3006587 0.764305 0.9097908 -6.9476608346 11174
ADAMTS7 -0.002801296 6.005035 -0.1020885 0.9188928 0.9718901 -6.987696965 11173
ADAMTS8 -0.3361397 6.332066 -6.606842 1.985318e-09 5.469406e-08 11.0900718469 11095
ADAMTS9 -0.4133253 7.367902 -5.07968 1.781039e-06 2.593567e-05 4.4807933117 56999
ADAMTSL1 0.04468038 6.1250134 0.66934494 0.51877312 0.7597603 -6.73705583566 92949
ADAMTSL2 -0.1342127 8.382316 -1.277982 0.2042432 0.4791994 -6.1815982969 9719
ADAMTSL3 -0.1936049 6.280107 -4.337963 3.466719e-05 0.0003748896 1.6298488412 57188
ADAMTSL4 -0.12417458 6.11824933333333 -4.53693033333333 0.0485648961676745 0.13070624458672 4.02540079823333 54507
ADAMTSL5 -0.1234148 6.375377 -3.068568 0.002774662 0.01779251 -2.4893117362 339366
ADAR 0.06379882 8.246137 0.954147633333333 0.470808556666667 0.6308495 -6.247675162 103
ADARB1 -0.0471821325 7.37024025 -0.7247104 0.3603045805 0.53451961625 -5.36398000835 104
ADARB2 0.2457851 6.209058 5.595768 1.957893e-07 3.499464e-06 6.61795124 105
ADAT1 0.1854459 8.073105 3.561882 0.0005679421 0.00444594 -1.016720195 23536
ADAT3 0.0540771 6.973196 1.400098 0.164609 0.4223923 -6.0207370514 113179
ADC 0.09450761 6.889013 1.956892 0.05317578 0.1957306 -5.1113089388 113451
ADCK1 0.2235266 7.827742 5.5937 1.975696e-07 3.528693e-06 6.6091674589 57143
ADCK2 0.06399518 9.257492 1.09578 0.2758325 0.5665233 -6.3951469649 90956
ADCK4 -0.192723 6.908087 -2.850272 0.005315197 0.03084386 -3.0833971146 79934
ADCK5 0.06685702 6.855265 1.798235 0.07518636 0.2514758 -5.3993596555 203054
