GENE logFC AveExpr t P.Value adj.P.Val B
ACP2 53 -0.1932098 6.8514651 -0.51922045 0.62305485 0.8313440835 -6.712665872
ACP5 54 -0.2259855 12.4466288 -0.235146 0.8219149 0.922149901 -6.835341998
ACP6 51205 -0.4246217 7.4389789 -1.640135 0.1520848 0.409528998 -5.587282349
ACPL2 92370 -0.2159829 9.2953406 -0.7137732 0.5021736 0.766412784 -6.585019337
ACPP 55 -0.9199812 13.54608 -1.2134073 0.28665275 0.570641541 -6.0858142095
ACPT 93650 0.6939051 3.528309 1.764064 0.1281696 0.371664921 -5.42396295
ACR 49 0.48347765 4.60988975 0.8497134 0.44909145 0.7051339865 -6.436065664
ACRBP 84519 0.5838877 5.2136889 1.497136 0.1849984 0.457566018 -5.77003341
ACRC 93953 -0.8386652 6.668824 -2.896049 0.02747393 0.152176545 -3.857697527
ACRV1 56 0.5904956 2.6527697 0.5993344 0.5708706 0.803772963 -6.6658321
ACSBG1 23205 -1.78904235 2.9230966 -4.2526855 0.1015624868 0.249145892 -2.598181084
ACSBG2 81616 0.8111818 4.3244377 1.6356 0.153037 0.410921729 -5.59317897
ACSF2 80221 -4.133972 6.3515269 -11.94408 2.08553e-05 0.008596569 3.579181341
ACSF3 197322 -0.9596198 7.87313985 -3.050899 0.02800208 0.147510764 -3.660165132
ACSL1 2180 -0.05231195 11.8024524 -0.1301956 0.9006668 0.956372843 -6.857336873
ACSL3 2181 0.458185205 10.13804805 2.08881203 0.4833259785 0.5250688425 -4.564968589
ACSL4 2182 -1.839211 5.6984241 -4.523451 0.004002298 0.053305334 -1.797875488
ACSL5 51703 -0.4702578 5.6165046 -0.4361381 0.677991 0.859275981 -6.759048941
ACSL6 23305 -0.0107910133333333 1.4747586 0.0676424666666667 0.596291066666667 0.808845104666667 -6.64378015633333
ACSM1 116285 4.540648 11.2062121 12.88396 1.343747e-05 0.008596569 3.975875088
ACSM2A 123876 0.31021265 2.98677305 0.53636355 0.61604785 0.82464544 -6.691890461
ACSM2B 348158 -0.452833 2.3464469 -0.6096846 0.5644289 0.800992324 -6.659029213
ACSM3 6296 -0.4449306 6.698066 -0.6056066 0.5669616 0.802091568 -6.661721812
ACSM5 54988 0.285323616666667 2.70659906666667 0.538354466666667 0.625492033333333 0.819017210666667 -6.66627206933333
ACSS1 84532 0.519439283333333 8.7239267 1.9286443 0.28063441 0.418674545 -4.99240638966667
ACSS2 55902 -0.45249235 7.166158 -1.800236 0.187810775 0.4144716225 -5.31125148
ACSS3 79611 -3.313465 5.2331688 -9.922483 6.052518e-05 0.009021659 2.569918313
ACTA1 58 -2.466053 5.7649546 -3.280628 0.01680797 0.11475968 -3.33732063
ACTA2 59 -2.940974 13.5884833 -8.770403 0.0001217135 0.010894794 1.877380943
ACTB 60 -0.159756740838462 12.9105129923077 -0.892181898153846 0.661372635284615 0.75084517 -5.80174677553846
ACTBL2 345651 -3.893937 11.7870572 -8.359465 0.0001592559 0.011694785 1.605498052
ACTC1 70 -3.3892065 10.31191035 -7.112746 0.007827420935 0.0596430255 -0.0895107844999998
ACTG1 71 0.2820699 14.3750635666667 1.2718702 0.308269033333333 0.551243122666667 -5.95772213033333
ACTG2 72 -3.449464 15.2680748 -5.151821 0.002111134 0.038505586 -1.110195238
ACTL6A 86 0.2049762 10.501531 1.133918 0.3000902 0.596552191 -6.195499294
ACTL6B 51412 0.1961298 4.3042727 0.4981362 0.6361164 0.838942306 -6.726810206
ACTL7A 10881 -0.4129244 3.2513258 -0.8076065 0.4501381 0.732096447 -6.509976699
ACTL7B 10880 0.8657957 2.5650448 1.733629 0.1336798 0.380739906 -5.464437196
ACTL8 81569 -0.04860108 2.4941919 -0.1618799 0.8767139 0.945332697 -6.852015353
ACTN1 87 -2.009019 11.6708296 -5.136217 0.0021505645 0.0387527915 -1.1269956455
ACTN2 88 -1.563855 3.8021758 -0.8360128 0.4351686 0.72116097 -6.485786755
ACTN3 89 -1.98862 6.4076766 -5.748366 0.001205963 0.029076827 -0.51086651
ACTN4 81 -0.56651725 8.20701715 -2.0845165 0.104504005 0.3124385005 -4.973187918
ACTR10 55860 -0.07106647 10.91900095 -0.28358045 0.78630275 0.905812807 -6.820818444
ACTR1A 10121 -0.02528595 8.81743876666667 -0.0917139 0.861920066666667 0.939270068666667 -6.847169773
ACTR1B 10120 0.395838 10.4103891 1.418584 0.2058096 0.48508125 -5.867264588
ACTR2 10097 -0.26615807 6.51637875 -0.8429669 0.55487535 0.6973335065 -6.234752612
ACTR3 10096 -0.01474867 10.2894048666667 -0.06061063 0.850004366666667 0.934492199 -6.83335614033333
ACTR3B 57180 0.59144675 7.78395545 2.9914915 0.024319155 0.1415624175 -3.7271394985
ACTR5 79913 0.3957085 6.7365448 1.562364 0.1692265 0.435311784 -5.687523038
ACTR6 64431 0.1677311 10.2110906 0.8088344 0.4494834 0.731530431 -6.508944886
ACTR8 93973 0.2478642 6.89264945 1.3183092 0.3046571 0.5462995765 -5.8943260665
ACTRT1 139741 -2.99769 1.9508686 -4.113169 0.006263267 0.067599844 -2.279802063
ACTRT2 140625 -0.3311366 2.1865989 -1.102477 0.3124984 0.610260523 -6.229006976
ACVR1 90 -0.9394143 7.4180999 -3.848073 0.008478 0.07875303 -2.605211909
ACVR1B 91 -0.12714955 4.477711 -0.23968726 0.78703955 0.9051802525 -6.7866385375
ACVR1C 130399 -0.9782647 2.60750055 -1.37665085 0.391713925 0.5522337695 -5.6760975375
ACVR2A 92 -0.3993604 5.4154338 -1.338334 0.2292678 0.514814781 -5.963900632
ACVR2B 93 -0.362419333333333 8.2354866 -0.8575379 0.441889633333333 0.703800966333333 -6.433239316
ACVRL1 94 -0.26067565 6.5641781 -1.71023365 0.279209292 0.4323808065 -4.5002453005
ACY1 95 1.586662 10.9828988 5.334536 0.001770149 0.035106585 -0.921277478
ACY3 91703 -0.8000963 2.9499362 -1.039748 0.3385276 0.636363488 -6.293973152
ACYP1 97 -0.3571487 9.4579535 -1.353949 0.2245222 0.509224908 -5.945326359
ACYP2 98 0.07269663 8.048210625 0.15039525 0.701696325 0.839435967 -6.65676529
ADA 100 -1.199892 7.686581 -2.92994 0.02628734 0.148210184 -3.811195112
ADAD1 132612 -0.1820796 0.8413198 -0.5263621 0.6175168 0.829100272 -6.710828327
ADAD2 161931 -0.9960604 5.9660061 -2.104829 0.07993955 0.280970724 -4.959117071
ADAL 161823 0.5657543 6.02992696666667 1.9352608 0.26706318 0.443279787 -5.04423937466667
ADAM10 102 -0.5803198 7.3868214 -1.454464 0.1960488 0.472139173 -5.823158227
ADAM11 4185 -0.85748995 3.8860996 -2.41939395 0.2060964655 0.386498423 -4.4601838235
ADAM12 8038 0.52533562 1.80645675 1.448449 0.37178869 0.5370907895 -5.598471021
ADAM15 8751 0.3998581 8.1596973 0.9467472 0.3803173 0.676847579 -6.385357192
ADAM17 6868 0.118844425 7.55100735 0.37663865 0.72084615 0.8769686365 -6.7810587615
ADAM18 8749 0.2526784 1.7951321 0.3824051 0.7153392 0.875686123 -6.783733104
ADAM19 8728 -1.4854738 4.9123021 -3.7562524 0.1937672506 0.3516560655 -3.0765386865
ADAM2 2515 -0.4513864 1.7013815 -1.428429 0.2030878 0.481526611 -5.855215604
ADAM20 8748 -0.3323999 2.4693343 -1.404932 0.2096392 0.490076352 -5.883905128
ADAM21 8747 1.971943 2.1956456 2.898988 0.02736877 0.151809569 -3.853660779
ADAM22 53616 -0.686122686666667 3.05296223333333 -3.26920223333333 0.245266422566667 0.38665503 -3.424910499
ADAM23 8745 -1.931313 3.5270611 -9.218274 9.192079e-05 0.009904427 2.158241444
ADAM28 10863 -0.1131433 4.3794878 -0.10827985 0.6925388 0.863061327 -6.7616188565
ADAM29 11086 0.1137651 0.6956954 0.6328692 0.5501612 0.793940375 -6.643419104
ADAM30 11085 0.2599392 2.2371847 0.3346611 0.7492693 0.888925476 -6.803070801
ADAM32 203102 -1.045451 2.781006 -1.295849 0.2426389 0.531089582 -6.013848201
ADAM33 80332 -2.057892 6.57944075 -5.66022 0.00160295165 0.0321733535 -0.6270719405
ADAM5P 255926 -0.2086655 0.9312916 -0.3603266 0.7309472 0.88128311 -6.792981998
ADAM6 8755 0.7972134 2.0382322 0.9883174 0.38066015 0.655194568 -6.3139179175
ADAM7 8756 1.130712 3.0494532 2.500448 0.04649777 0.205608735 -4.406822138
ADAM8 101 -0.09221008 9.5941338 -0.2087516 0.8415483 0.930667665 -6.842048
ADAM9 8754 -0.425941 7.11984695 -1.0191484 0.36043325 0.6440774945 -6.29441134
ADAMDEC1 27299 1.35042 3.5500476 0.7241995 0.4961973 0.762580784 -6.577060218
ADAMTS1 9510 2.656839 8.0387802 3.3481315 0.01551813 0.1099508635 -3.2481676545
ADAMTS10 81794 0.07593236 4.8174132 0.1660011 0.8736082 0.943962404 -6.851239019
ADAMTS12 81792 -0.780695 2.1931834 -1.0518632 0.32623274 0.5066290545 -5.4625940025
ADAMTS13 11093 0.21406627 5.82341033333333 0.510313266666667 0.641764866666667 0.831470852 -6.683792612
ADAMTS14 140766 0.198096675 2.21769575 0.554742755 0.63461935 0.789874992 -6.525254649
ADAMTS15 170689 0.1980646 1.7099646 0.3673272 0.7259824 0.879395607 -6.790106223
ADAMTS16 170690 -0.76893025 1.24442205 -0.7784485 0.49031525 0.731478997 -6.486887204
ADAMTS17 170691 0.1653579 2.892578 0.1934957 0.8529546 0.935161849 -6.845565627
ADAMTS18 170692 1.39468965 2.27687925 1.36263505 0.33020465 0.541961509 -5.789331132
ADAMTS19 171019 0.7377817 1.5736242 1.016256 0.3487194 0.646470429 -6.317629045
ADAMTS2 9509 -0.5676581 3.9692718 -2.00945366666667 0.162933626666667 0.375000541666667 -5.03991957466667
ADAMTS20 80070 0.62550925 0.88198185 1.577852 0.2012261 0.452707002 -5.627411589
ADAMTS3 9508 1.2753005 3.2849379 5.4119095 0.00170541 0.0342821525 -0.8478104675
ADAMTS4 9507 0.79717755 4.2368945 1.15108325 0.40505515 0.6008747295 -6.005862684
ADAMTS5 11096 -2.412764 8.5106032 -6.065314 0.0009110032 0.025354126 -0.212203115
ADAMTS6 11174 -0.20959653 1.02129335 -0.19247244 0.81342115 0.919019945 -6.810022624
ADAMTS7 11173 -0.388680766666667 6.05844053333333 -0.876046433333333 0.435165833333333 0.698440775666667 -6.416391564
ADAMTS8 11095 -4.12319 4.6905417 -4.821882 0.00293397 0.045445934 -1.463800826
ADAMTS9 56999 -1.1173195 4.14916753333333 -1.6997785 0.27638578 0.449864635333333 -5.33629429266667
ADAMTSL1 92949 3.178328 5.292357675 3.8549205 0.01540139625 0.096729143 -2.63939215475
ADAMTSL2 9719 -0.8257892 5.6717028 -2.527704 0.04481613 0.201911826 -4.36872952
ADAMTSL3 57188 -1.55240833333333 6.50224066666667 -1.34442833333333 0.2317864 0.515078912 -5.950938326
ADAMTSL4 54507 -0.676626025 3.963605 -1.4845099 0.240376605 0.48059967625 -5.71668698125
ADAMTSL5 339366 -0.1243473 4.1018675 -0.366044266666667 0.324380866666667 0.620817967333333 -6.25342167833333
ADAP1 11033 -0.05207521 3.6788757 -0.183794 0.8602288 0.938085021 -6.847665513
ADAP2 55803 0.8638501 8.0285647 2.019011 0.10555121 0.319184095 -5.06676657
ADAR 103 -0.12087124 8.26816845 -0.2977409 0.6570081 0.8371399995 -6.685888493
ADARB1 104 -0.156751732 5.19675283333333 -0.808207543333333 0.664647363333333 0.728020326333333 -6.04939533266667
ADARB2 105 0.5935293 4.061053 1.13283 0.3005126 0.597059492 -6.196669198
ADAT1 23536 0.34458765 7.1131761 1.2313304 0.28748115 0.566642589 -6.0559256305
ADAT2 134637 -0.5197341 6.21843625 -2.134456 0.17449845 0.374727342 -4.852898477
ADAT3 113179 -0.3666363 5.7826256 -1.547297 0.1727532 0.440344553 -5.706716067
ADC 113451 -0.63955495 6.43846035 -1.8723505 0.130835065 0.359396219 -5.2603495875
ADCK1 57143 0.7236635 5.7951669 2.200443 0.07005683 0.261818871 -4.826170864
ADCK2 90956 0.8874054 8.4247807 4.325032 0.0083203915 0.0716795535 -2.0957381125
ADCK4 79934 -0.313900913 4.66291525 -1.111395365 0.529076025 0.625660684 -5.823070302
ADCK5 203054 0.2468011 8.5013424 0.659559 0.5340178 0.784889476 -6.624820837
ADCY1 107 -1.90936615 5.105171 -1.806811 0.1889656 0.414573674 -5.3004996955
ADCY10 55811 1.226357 3.3202016 1.071049 0.3253254 0.623648854 -6.261877138
ADCY2 108 0.153728005 4.1372875 0.2099949 0.8413529 0.929828629 -6.8371832755
