logFC AveExpr t P.Value adj.P.Val B GENE
ABCG2 -0.4494181 8.2558018 -0.8936731 0.4059115 0.699732121 -6.434680186 9429
ABCG4 -0.109378 3.453776 -0.4820253 0.6468657 0.84448422 -6.735569188 64137
ABCG5 -0.1569504 2.3829746 -0.3257379 0.7556825 0.891697084 -6.806410386 64240
ABCG8 0.6846141 1.0169569 2.842168 0.02948108 0.15879178 -3.931845491 64241
ABHD1 0.280094675 5.73416865 0.39217808 0.68643455 0.8460536285 -6.6673118175 84696
ABHD10 0.49986585 5.85507696666667 1.94919043333333 0.25239759 0.404855747666667 -4.99659625466667 55347
ABHD11 1.59261066666667 10.2465144666667 4.62829333333333 0.004570846 0.0540394666666667 -1.705989242 83451
ABHD12 1.536639 9.5636095 5.363833 0.0017238395 0.0346111025 -0.891620269 26090
ABHD12B 1.177792 1.6166467 1.472592 0.1912815 0.466249537 -5.800675906 145447
ABHD13 0.0620491166666666 4.9194406 0.128115466666667 0.5730919 0.780368342333333 -6.56211680566667 84945
ABHD14A -0.03000361 9.4529716 -0.09843492 0.9247929 0.966898368 -6.861518277 25864
ABHD14B -0.02996583 7.4981172 -0.1265102 0.64871455 0.841475068 -6.7265271885 84836
ABHD2 0.439863138 7.46311376 0.86020778 0.38957406 0.6078890822 -6.0861871884 11057
ABHD3 -0.1920417 7.2843917 -0.6080524 0.5654417 0.801272616 -6.660108824 171586
ABHD4 0.1629354 9.0744774 0.5712591 0.5885653 0.813531142 -6.683763438 63874
ABHD5 1.088545 8.2672251 3.817397 0.008786384 0.080368087 -2.64356933 51099
ABHD6 -0.5988741 8.5727333 -3.449195 0.01364517 0.102663735 -3.115014232 57406
ABHD7 0.2305847 2.8464078 0.2211548 0.8323056 0.926602299 -6.838994423 253152
ABHD8 -1.089872 6.5210251 -3.310498 0.0161933 0.112925287 -3.297648816 79575
ABHD9 -0.9525207 9.3201212 -3.265058 0.01713848 0.115911685 -3.358046344 79852
ABI1 -0.1858761 8.17930485 -0.7161811 0.5098495 0.7614142855 -6.5647315545 10006
ABI2 0.01523765 8.6225044 0.7194175 0.013574256 0.0958662025 -2.760552743 10152
ABI3 -0.2227232 6.8550416 -0.6592456 0.5342056 0.784935546 -6.625043072 51225
ABI3BP -1.0015989 2.9244224 -2.4029581 0.3165287305 0.4359856095 -3.8338325585 25890
ABL1 -0.329934542928571 4.59970775 -1.45786614785714 0.219242797142857 0.439915561571429 -5.49421795571429 25
ABL2 0.0990272333333333 5.1944245 0.342646733333333 0.757845466666667 0.886259766666667 -6.75201351433333 27
ABLIM1 -1.005062 10.7606461 -2.535645 0.04433839 0.200592245 -4.357635677 3983
ABLIM2 -0.2649541 6.3479238 -0.7148886 0.501532 0.765952908 -6.584172522 84448
ABLIM3 0.6135498 6.69706745 1.2813057 0.391820285 0.570506091 -5.8220168525 22885
ABO -1.615914 1.282097 -1.646031 0.1508552 0.407588347 -5.579606702 28
ABP1 -5.894146 5.3047623 -4.95817 0.002556508 0.042031128 -1.315762111 26
ABR -0.5988273 11.8380352 -2.131669 0.07702888 0.276065289 -4.92186578 29
ABRA 1.167934 1.5560204 1.254211 0.2564107 0.546798087 -6.061923187 137735
ABT1 -0.3060685 6.6812476 -1.164069 0.2885838 0.583849246 -6.162800803 29777
ABTB1 -0.62337155 7.90840755 -1.9655325 0.09735083 0.314825112 -5.150948426 80325
ABTB2 -1.009577 7.5878322 -2.83167 0.02989022 0.160122361 -3.946321009 25841
ACAA1 0.07870437 11.6151736 0.308603375 0.7363385 0.878441441 -6.737138353 30
ACAA2 -2.294785 7.3777541 -6.905259 0.0004558214 0.018170832 0.51887765 10449
ACACA 0.81510775 6.7818628 3.355115 0.35152805675 0.446414947 -3.383338773 31
ACACB -1.672584 4.7305146 -6.342983 0.0007189462 0.022759045 0.038863618 32
ACAD10 0.188187333333333 5.72286766666667 1.11388703333333 0.306747776666667 0.523271112666667 -5.682121303 80724
ACAD11 0.110154 6.2883918 0.2672681 0.7982116 0.911480183 -6.826126323 84129
ACAD8 0.110229685 8.81686175 0.3129417 0.7663319 0.8974430695 -6.805044712 27034
ACAD9 0.3652765 10.18985755 1.7127495 0.15022541 0.395548387 -5.4792553245 28976
ACADL 1.213489 7.8298516 3.46253 0.01342447 0.101809358 -3.097595307 33
ACADM -0.2966037 8.5254544 -1.009235 0.3518133 0.649265133 -6.324626408 34
ACADS -0.3389835 6.8126364 -1.240726 0.2610161 0.55227456 -6.077299728 35
ACADSB 0.746946366666667 7.96207143333333 2.05048236666667 0.25845729 0.404221899 -4.859073742 36
ACADVL -0.280253 13.6364276 -1.237857 0.2620051 0.553375642 -6.080558298 37
ACAN 0.04928666 5.3037528 0.02866727 0.9780596 0.990507086 -6.866631496 176
ACAP1 -0.216187 5.5297222 -0.60848745 0.565555 0.801292958 -6.6589354645 9744
ACAP2 -0.61902675 7.74765595 -2.8033115 0.03818558 0.1763463945 -3.9944270555 23527
ACAP3 -0.00679309249999999 4.888105025 -0.252521175 0.44867225 0.7049574125 -6.4310074755 116983
ACAT1 0.100954525 10.05271435 0.4026032 0.7024209 0.8686429725 -6.770703512 38
ACAT2 -0.7960767 10.92744975 -1.238026 0.270715 0.5581075695 -6.0684138605 39
ACBD3 0.19954025 8.8201291 1.0165141 0.37430365 0.643419283 -6.276710018 64746
ACBD4 -0.67112435 7.40063325 -2.0243966 0.3681453 0.4834728115 -4.802690258 79777
ACBD5 -0.5897895 5.6265881 -1.9164875 0.110201415 0.3352304475 -5.2130442685 91452
ACBD6 0.2371618 10.6255634 0.9808073 0.3645633 0.661513152 -6.352601461 84320
ACBD7 0.1263148 6.6501375 0.5069367 0.6302851 0.836225112 -6.721913782 414149
ACCN1 0.5619145 4.0739191 0.5910294 0.5760714 0.806467825 -6.671216106 40
ACCN2 -0.431433 8.4581829 -1.279023 0.2481234 0.538122618 -6.033382582 41
ACCN3 0.5259881 4.3738756 1.511127 0.1815035 0.452552393 -5.752464634 9311
ACCN4 1.086947 3.5080578 1.262725 0.2535399 0.544086367 -6.052165912 55515
ACCN5 0.1903291 1.2185619 0.3147649 0.7635982 0.895277289 -6.810397672 51802
ACCS -0.7510777 8.5545286 -1.738313 0.132817 0.379543519 -5.45822299 84680
ACD -0.8427878 7.898827 -4.303776 0.005071125 0.060641707 -2.052626182 65057
ACE -0.3454379 4.1040748 -1.458966 0.1948546 0.470700103 -5.817586796 1636
ACE2 0.6758165 3.0870547 0.832954 0.4367629 0.722191337 -6.488423361 59272
ACER1 -0.680661 3.876313 -1.908728 0.10489 0.329492184 -5.228878321 125981
ACER3 0.8482991 5.58338686666667 1.50077343333333 0.39087677 0.568317047 -5.52848565233333 55331
ACHE 0.3535862 5.37509 1.01093 0.3510643 0.648603789 -6.322940234 43
ACIN1 -0.7010687 8.2427595 -3.388752 0.01469692 0.106810121 -3.194281523 22985
ACLY 0.5489458 10.0930354 1.494499 0.1856642 0.45833134 -5.773336986 47
ACMSD -0.9497643 1.555535 -1.27168 0.2505511 0.540886237 -6.041862795 130013
ACN9 0.4676349 10.0827563 2.000188 0.09239947 0.305095151 -5.103668019 57001
ACO1 -0.2814846 9.5915482 -1.08806535 0.33415865 0.6178473225 -6.2204399375 48
ACO2 0.40579315 12.0872501 2.099758 0.089472785 0.293942329 -4.960843947 50
ACOT1 -0.3591689 11.2794743 -1.066169 0.3273554 0.625701802 -6.266923473 641371
ACOT11 -2.17965666666667 4.23805723333333 -4.983619 0.00474133443333333 0.053170185 -1.41406708666667 26027
ACOT12 -0.7296833 1.2986518 -1.03584 0.3402064 0.638099535 -6.297935003 134526
ACOT2 -0.3046882 9.7152014 -0.9221249 0.4064006 0.6801835605 -6.3843042675 10965
ACOT4 -1.091468 6.8579907 -1.70267 0.1395215 0.390387889 -5.505374156 122970
ACOT7 0.4346302 8.3691839 1.526449 0.1777471 0.447024089 -5.733141669 11332
ACOT8 0.7060063 8.7542867 3.039537 0.02281477 0.13642263 -3.661600662 10005
ACOT9 0.08640565 8.93761585 0.28142495 0.5131827 0.754037107 -6.5416757315 23597
ACOX1 -0.366531966666667 6.96502163333333 -0.9387511 0.408831533333333 0.675252287 -6.35326043933333 51
ACOX2 -4.085337 7.5245259 -10.77731 3.77241e-05 0.008695089 3.025450481 8309
ACOX3 -0.51892645 8.24636405 -1.2313833 0.33796615 0.5728461635 -5.983054463 8310
ACOXL -1.346383 4.3118549 -1.90833 0.1049478 0.329546983 -5.229419648 55289
ACP1 0.494633895 6.23604645 0.73747967 0.58193785 0.733330814 -6.3648468815 52
ACP2 -0.1932098 6.8514651 -0.51922045 0.62305485 0.8313440835 -6.712665872 53
ACP5 -0.2259855 12.4466288 -0.235146 0.8219149 0.922149901 -6.835341998 54
ACP6 -0.4246217 7.4389789 -1.640135 0.1520848 0.409528998 -5.587282349 51205
ACPL2 -0.2159829 9.2953406 -0.7137732 0.5021736 0.766412784 -6.585019337 92370
ACPP -0.9199812 13.54608 -1.2134073 0.28665275 0.570641541 -6.0858142095 55
ACPT 0.6939051 3.528309 1.764064 0.1281696 0.371664921 -5.42396295 93650
ACR 0.48347765 4.60988975 0.8497134 0.44909145 0.7051339865 -6.436065664 49
ACRBP 0.5838877 5.2136889 1.497136 0.1849984 0.457566018 -5.77003341 84519
ACRC -0.8386652 6.668824 -2.896049 0.02747393 0.152176545 -3.857697527 93953
ACRV1 0.5904956 2.6527697 0.5993344 0.5708706 0.803772963 -6.6658321 56
ACSBG1 -1.78904235 2.9230966 -4.2526855 0.1015624868 0.249145892 -2.598181084 23205
ACSBG2 0.8111818 4.3244377 1.6356 0.153037 0.410921729 -5.59317897 81616
ACSF2 -4.133972 6.3515269 -11.94408 2.08553e-05 0.008596569 3.579181341 80221
ACSF3 -0.9596198 7.87313985 -3.050899 0.02800208 0.147510764 -3.660165132 197322
ACSL1 -0.05231195 11.8024524 -0.1301956 0.9006668 0.956372843 -6.857336873 2180
ACSL3 0.458185205 10.13804805 2.08881203 0.4833259785 0.5250688425 -4.564968589 2181
ACSL4 -1.839211 5.6984241 -4.523451 0.004002298 0.053305334 -1.797875488 2182
ACSL5 -0.4702578 5.6165046 -0.4361381 0.677991 0.859275981 -6.759048941 51703
ACSL6 -0.0107910133333333 1.4747586 0.0676424666666667 0.596291066666667 0.808845104666667 -6.64378015633333 23305
ACSM1 4.540648 11.2062121 12.88396 1.343747e-05 0.008596569 3.975875088 116285
ACSM2A 0.31021265 2.98677305 0.53636355 0.61604785 0.82464544 -6.691890461 123876
ACSM2B -0.452833 2.3464469 -0.6096846 0.5644289 0.800992324 -6.659029213 348158
ACSM3 -0.4449306 6.698066 -0.6056066 0.5669616 0.802091568 -6.661721812 6296
ACSM5 0.285323616666667 2.70659906666667 0.538354466666667 0.625492033333333 0.819017210666667 -6.66627206933333 54988
ACSS1 0.519439283333333 8.7239267 1.9286443 0.28063441 0.418674545 -4.99240638966667 84532
ACSS2 -0.45249235 7.166158 -1.800236 0.187810775 0.4144716225 -5.31125148 55902
ACSS3 -3.313465 5.2331688 -9.922483 6.052518e-05 0.009021659 2.569918313 79611
ACTA1 -2.466053 5.7649546 -3.280628 0.01680797 0.11475968 -3.33732063 58
ACTA2 -2.940974 13.5884833 -8.770403 0.0001217135 0.010894794 1.877380943 59
ACTB -0.159756740838462 12.9105129923077 -0.892181898153846 0.661372635284615 0.75084517 -5.80174677553846 60
ACTBL2 -3.893937 11.7870572 -8.359465 0.0001592559 0.011694785 1.605498052 345651
ACTC1 -3.3892065 10.31191035 -7.112746 0.007827420935 0.0596430255 -0.0895107844999998 70
ACTG1 0.2820699 14.3750635666667 1.2718702 0.308269033333333 0.551243122666667 -5.95772213033333 71
ACTG2 -3.449464 15.2680748 -5.151821 0.002111134 0.038505586 -1.110195238 72
ACTL6A 0.2049762 10.501531 1.133918 0.3000902 0.596552191 -6.195499294 86
ACTL6B 0.1961298 4.3042727 0.4981362 0.6361164 0.838942306 -6.726810206 51412
ACTL7A -0.4129244 3.2513258 -0.8076065 0.4501381 0.732096447 -6.509976699 10881
ACTL7B 0.8657957 2.5650448 1.733629 0.1336798 0.380739906 -5.464437196 10880
ACTL8 -0.04860108 2.4941919 -0.1618799 0.8767139 0.945332697 -6.852015353 81569
ACTN1 -2.009019 11.6708296 -5.136217 0.0021505645 0.0387527915 -1.1269956455 87
ACTN2 -1.563855 3.8021758 -0.8360128 0.4351686 0.72116097 -6.485786755 88
ACTN3 -1.98862 6.4076766 -5.748366 0.001205963 0.029076827 -0.51086651 89
ACTN4 -0.56651725 8.20701715 -2.0845165 0.104504005 0.3124385005 -4.973187918 81
ACTR10 -0.07106647 10.91900095 -0.28358045 0.78630275 0.905812807 -6.820818444 55860
ACTR1A -0.02528595 8.81743876666667 -0.0917139 0.861920066666667 0.939270068666667 -6.847169773 10121
ACTR1B 0.395838 10.4103891 1.418584 0.2058096 0.48508125 -5.867264588 10120
ACTR2 -0.26615807 6.51637875 -0.8429669 0.55487535 0.6973335065 -6.234752612 10097
ACTR3 -0.01474867 10.2894048666667 -0.06061063 0.850004366666667 0.934492199 -6.83335614033333 10096
ACTR3B 0.59144675 7.78395545 2.9914915 0.024319155 0.1415624175 -3.7271394985 57180
ACTR5 0.3957085 6.7365448 1.562364 0.1692265 0.435311784 -5.687523038 79913
ACTR6 0.1677311 10.2110906 0.8088344 0.4494834 0.731530431 -6.508944886 64431
ACTR8 0.2478642 6.89264945 1.3183092 0.3046571 0.5462995765 -5.8943260665 93973
ACTRT1 -2.99769 1.9508686 -4.113169 0.006263267 0.067599844 -2.279802063 139741
ACTRT2 -0.3311366 2.1865989 -1.102477 0.3124984 0.610260523 -6.229006976 140625
ACVR1 -0.9394143 7.4180999 -3.848073 0.008478 0.07875303 -2.605211909 90
ACVR1B -0.12714955 4.477711 -0.23968726 0.78703955 0.9051802525 -6.7866385375 91
ACVR1C -0.9782647 2.60750055 -1.37665085 0.391713925 0.5522337695 -5.6760975375 130399
ACVR2A -0.3993604 5.4154338 -1.338334 0.2292678 0.514814781 -5.963900632 92
ACVR2B -0.362419333333333 8.2354866 -0.8575379 0.441889633333333 0.703800966333333 -6.433239316 93
ACVRL1 -0.26067565 6.5641781 -1.71023365 0.279209292 0.4323808065 -4.5002453005 94
ACY1 1.586662 10.9828988 5.334536 0.001770149 0.035106585 -0.921277478 95
ACY3 -0.8000963 2.9499362 -1.039748 0.3385276 0.636363488 -6.293973152 91703
ACYP1 -0.3571487 9.4579535 -1.353949 0.2245222 0.509224908 -5.945326359 97
ACYP2 0.07269663 8.048210625 0.15039525 0.701696325 0.839435967 -6.65676529 98
ADA -1.199892 7.686581 -2.92994 0.02628734 0.148210184 -3.811195112 100
ADAD1 -0.1820796 0.8413198 -0.5263621 0.6175168 0.829100272 -6.710828327 132612
ADAD2 -0.9960604 5.9660061 -2.104829 0.07993955 0.280970724 -4.959117071 161931
ADAL 0.5657543 6.02992696666667 1.9352608 0.26706318 0.443279787 -5.04423937466667 161823
ADAM10 -0.5803198 7.3868214 -1.454464 0.1960488 0.472139173 -5.823158227 102
ADAM11 -0.85748995 3.8860996 -2.41939395 0.2060964655 0.386498423 -4.4601838235 4185
ADAM12 0.52533562 1.80645675 1.448449 0.37178869 0.5370907895 -5.598471021 8038
ADAM15 0.3998581 8.1596973 0.9467472 0.3803173 0.676847579 -6.385357192 8751
ADAM17 0.118844425 7.55100735 0.37663865 0.72084615 0.8769686365 -6.7810587615 6868
ADAM18 0.2526784 1.7951321 0.3824051 0.7153392 0.875686123 -6.783733104 8749
ADAM19 -1.4854738 4.9123021 -3.7562524 0.1937672506 0.3516560655 -3.0765386865 8728
ADAM2 -0.4513864 1.7013815 -1.428429 0.2030878 0.481526611 -5.855215604 2515
ADAM20 -0.3323999 2.4693343 -1.404932 0.2096392 0.490076352 -5.883905128 8748
ADAM21 1.971943 2.1956456 2.898988 0.02736877 0.151809569 -3.853660779 8747
ADAM22 -0.686122686666667 3.05296223333333 -3.26920223333333 0.245266422566667 0.38665503 -3.424910499 53616
ADAM23 -1.931313 3.5270611 -9.218274 9.192079e-05 0.009904427 2.158241444 8745
ADAM28 -0.1131433 4.3794878 -0.10827985 0.6925388 0.863061327 -6.7616188565 10863
ADAM29 0.1137651 0.6956954 0.6328692 0.5501612 0.793940375 -6.643419104 11086
ADAM30 0.2599392 2.2371847 0.3346611 0.7492693 0.888925476 -6.803070801 11085
ADAM32 -1.045451 2.781006 -1.295849 0.2426389 0.531089582 -6.013848201 203102
ADAM33 -2.057892 6.57944075 -5.66022 0.00160295165 0.0321733535 -0.6270719405 80332
ADAM5P -0.2086655 0.9312916 -0.3603266 0.7309472 0.88128311 -6.792981998 255926
ADAM6 0.7972134 2.0382322 0.9883174 0.38066015 0.655194568 -6.3139179175 8755
ADAM7 1.130712 3.0494532 2.500448 0.04649777 0.205608735 -4.406822138 8756
ADAM8 -0.09221008 9.5941338 -0.2087516 0.8415483 0.930667665 -6.842048 101
ADAM9 -0.425941 7.11984695 -1.0191484 0.36043325 0.6440774945 -6.29441134 8754
ADAMDEC1 1.35042 3.5500476 0.7241995 0.4961973 0.762580784 -6.577060218 27299
ADAMTS1 2.656839 8.0387802 3.3481315 0.01551813 0.1099508635 -3.2481676545 9510
ADAMTS10 0.07593236 4.8174132 0.1660011 0.8736082 0.943962404 -6.851239019 81794
ADAMTS12 -0.780695 2.1931834 -1.0518632 0.32623274 0.5066290545 -5.4625940025 81792
ADAMTS13 0.21406627 5.82341033333333 0.510313266666667 0.641764866666667 0.831470852 -6.683792612 11093
ADAMTS14 0.198096675 2.21769575 0.554742755 0.63461935 0.789874992 -6.525254649 140766
ADAMTS15 0.1980646 1.7099646 0.3673272 0.7259824 0.879395607 -6.790106223 170689
ADAMTS16 -0.76893025 1.24442205 -0.7784485 0.49031525 0.731478997 -6.486887204 170690
ADAMTS17 0.1653579 2.892578 0.1934957 0.8529546 0.935161849 -6.845565627 170691
ADAMTS18 1.39468965 2.27687925 1.36263505 0.33020465 0.541961509 -5.789331132 170692
ADAMTS19 0.7377817 1.5736242 1.016256 0.3487194 0.646470429 -6.317629045 171019
ADAMTS2 -0.5676581 3.9692718 -2.00945366666667 0.162933626666667 0.375000541666667 -5.03991957466667 9509
ADAMTS20 0.62550925 0.88198185 1.577852 0.2012261 0.452707002 -5.627411589 80070
ADAMTS3 1.2753005 3.2849379 5.4119095 0.00170541 0.0342821525 -0.8478104675 9508
ADAMTS4 0.79717755 4.2368945 1.15108325 0.40505515 0.6008747295 -6.005862684 9507
ADAMTS5 -2.412764 8.5106032 -6.065314 0.0009110032 0.025354126 -0.212203115 11096
ADAMTS6 -0.20959653 1.02129335 -0.19247244 0.81342115 0.919019945 -6.810022624 11174
ADAMTS7 -0.388680766666667 6.05844053333333 -0.876046433333333 0.435165833333333 0.698440775666667 -6.416391564 11173
ADAMTS8 -4.12319 4.6905417 -4.821882 0.00293397 0.045445934 -1.463800826 11095
ADAMTS9 -1.1173195 4.14916753333333 -1.6997785 0.27638578 0.449864635333333 -5.33629429266667 56999
ADAMTSL1 3.178328 5.292357675 3.8549205 0.01540139625 0.096729143 -2.63939215475 92949
ADAMTSL2 -0.8257892 5.6717028 -2.527704 0.04481613 0.201911826 -4.36872952 9719
ADAMTSL3 -1.55240833333333 6.50224066666667 -1.34442833333333 0.2317864 0.515078912 -5.950938326 57188
ADAMTSL4 -0.676626025 3.963605 -1.4845099 0.240376605 0.48059967625 -5.71668698125 54507
ADAMTSL5 -0.1243473 4.1018675 -0.366044266666667 0.324380866666667 0.620817967333333 -6.25342167833333 339366
ADAP1 -0.05207521 3.6788757 -0.183794 0.8602288 0.938085021 -6.847665513 11033
ADAP2 0.8638501 8.0285647 2.019011 0.10555121 0.319184095 -5.06676657 55803
ADAR -0.12087124 8.26816845 -0.2977409 0.6570081 0.8371399995 -6.685888493 103
ADARB1 -0.156751732 5.19675283333333 -0.808207543333333 0.664647363333333 0.728020326333333 -6.04939533266667 104
ADARB2 0.5935293 4.061053 1.13283 0.3005126 0.597059492 -6.196669198 105
ADAT1 0.34458765 7.1131761 1.2313304 0.28748115 0.566642589 -6.0559256305 23536
ADAT2 -0.5197341 6.21843625 -2.134456 0.17449845 0.374727342 -4.852898477 134637
ADAT3 -0.3666363 5.7826256 -1.547297 0.1727532 0.440344553 -5.706716067 113179
ADC -0.63955495 6.43846035 -1.8723505 0.130835065 0.359396219 -5.2603495875 113451
ADCK1 0.7236635 5.7951669 2.200443 0.07005683 0.261818871 -4.826170864 57143
ADCK2 0.8874054 8.4247807 4.325032 0.0083203915 0.0716795535 -2.0957381125 90956
ADCK4 -0.313900913 4.66291525 -1.111395365 0.529076025 0.625660684 -5.823070302 79934
ADCK5 0.2468011 8.5013424 0.659559 0.5340178 0.784889476 -6.624820837 203054
ADCY1 -1.90936615 5.105171 -1.806811 0.1889656 0.414573674 -5.3004996955 107
ADCY10 1.226357 3.3202016 1.071049 0.3253254 0.623648854 -6.261877138 55811
ADCY2 0.153728005 4.1372875 0.2099949 0.8413529 0.929828629 -6.8371832755 108
ADCY3 -1.022398 10.1100065 -3.717815 0.009876817 0.085386005 -2.769082311 109
